Mensagem,Bateria,Tag,Serial,Familia
06/07/2020 16:33:29,61.64760581249999,4078668,0059 J A,CDTR14
18/11/2020 06:54:01,74.73608643749998,4078681,0421 J A,CDTR14
05/11/2020 01:54:29,76.41019682812504,4103944,0345 J A,CDTR14
18/09/2020 02:01:30,47.493785343750005,4078358,0154 J A,CDTR14
08/02/2020 10:30:29,86.45,4103828,1032 J B,CDTR14
12/09/2020 07:46:34,42.62365542187496,4071674,0309 J,LJ
22/10/2019 17:49:27,89.8,4104725,0651 J B,CDTR14
31/10/2020 06:50:34,76.41019682812504,4093396,2654 R,CDTR14
13/11/2020 08:25:57,83.106638390625,4093100,1458 J A,CDTR14
06/11/2020 23:31:59,84.78074878125,4096429,1424 J A,CDTR14
19/06/2019 14:44:11,78.08,4095621,0643 J A,CDTR14
29/07/2020 17:57:29,50.233235578125004,4099694,0042 C,LJ
17/11/2020 22:37:22,76.41019682812504,4096503,0227 J A,CDTR14
18/11/2020 01:04:28,68.03964487499996,4085279,1123 J A,CDTR14
04/11/2020 23:09:43,83.10667284375,4071686,0791 J B,CDTR14
24/02/2020 03:06:56,89.8,4082167,0185 J B,CDTR14
23/07/2020 21:25:00,66.061200890625,4085329,0556 J A,CDTR14
07/07/2020 17:13:20,75.64925948437502,4085986,0006 J A,CDTR14
04/01/2020 12:48:16,70.77916401562499,4104430,0866 J B,CDTR14
28/10/2020 05:30:45,69.71375526562503,4080923,0912 J B,CDTR14
02/05/2020 04:51:44,41.10174628124997,4079936,0628 J A,CDTR14
03/11/2020 16:27:48,59.669092921875006,4085925,1378 J A,CDTR14
31/07/2020 10:27:48,85.23735253125,4093091,1394 J B,CDTR14
18/11/2020 02:56:29,77.01896737500005,4082320,1381 J B,CDTR14
17/11/2020 23:21:22,71.38786565624997,4082280,1383 J A,CDTR14
10/11/2019 19:22:22,81.58,4073036,1381 J A,CDTR14
18/11/2020 09:18:40,88.1289695625,4082344,1379 J A,CDTR14
18/11/2020 01:22:07,76.41019682812504,4073319,1396 J A,CDTR14
24/03/2020 22:08:24,49.47,4080748,1467 J B,CDTR14
18/11/2020 04:25:12,67.12650628124999,4084848,1249 J B,CDTR14
27/10/2020 05:34:55,63.01731370312501,4082308,1332 J B,CDTR14
09/10/2020 07:42:09,73.06197604687503,4072631,1118 J B,CDTR14
