Mensagem,Bateria,Tag,Serial,Familia
12/09/2020 03:15:13,86.45,4068917,1526 J B,CDTR14
21/07/2020 09:37:44,60.13,4084769,1498 J A,CDTR14
14/11/2020 22:53:27,72.61,4084714,1485 J A,CDTR14
17/10/2020 02:36:58,81.43,4084720,1481 J B,CDTR14
30/08/2020 21:01:22,65.15,4095325,1501 J B,CDTR14
18/11/2020 08:55:09,86.45,4093103,1513 J B,CDTR14
12/11/2020 22:30:03,78.08,4082367,1511 J A,CDTR14
12/11/2020 16:33:11,61.34,4082450,1592 J B,CDTR14
31/07/2020 08:41:36,56.32,4062877,1562 J B,CDTR14
04/03/2020 15:18:01,55.26,4062875,1547 J B,CDTR14
23/09/2020 18:18:13,40.04,4095945,1545 J A,CDTR14
20/10/2020 20:52:13,88.13,4083329,1569 J A,CDTR14
31/10/2020 14:37:45,79.91,4082675,1590 J A,CDTR14
11/11/2020 07:23:37,88.59,4071665,1566 J A,CDTR14
11/11/2020 12:02:06,74.89,4089864,1584 J A,CDTR14
06/11/2020 19:09:18,77.17,4079951,0559 C,CDTR14
18/11/2020 06:12:39,88.89,4086133,0187 J A,CDTR14
11/11/2020 11:22:20,89.8,4082743,0540 J B,CDTR14
13/11/2020 02:18:00,78.08,4101310,0881 J B,CDTR14
10/11/2019 17:26:05,70.63,4095796,1269 J A,CDTR14
07/11/2020 16:01:29,73.06,4105022,1208 J A,CDTR14
17/11/2020 23:24:00,89.96,4072279,1244 J B,CDTR14
18/11/2020 02:43:45,88.13,4080169,0182 J A,CDTR14
01/12/2019 03:59:25,61.04,4080204,0316 J A,CDTR14
18/11/2020 12:37:35,89.8,4084983,0773 J B,CDTR14
29/08/2019 13:20:16,78.08,4085864,0003 J B,CDTR14
05/08/2020 07:27:42,66.52,4104686,0041 J B,CDTR14
15/08/2020 07:31:01,78.08,4096560,0683 J A,CDTR14
01/11/2020 01:27:50,81.89,4085647,0046 J C,CDTR14
08/11/2020 01:27:47,42.17,4063993,0557 J B,CDTR14
24/07/2020 19:51:30,52.52,4104786,1129 J R A X,CDTR14
05/11/2020 10:58:45,56.93,4067141,0956 J B,CDTR14
15/02/2020 00:32:05,59.21,4103077,0664 J B,CDTR14
22/04/2020 16:50:49,45.82,4080743,1240 J R A X,CDTR14
20/07/2020 09:56:01,47.04,4096584,1577 J A,CDTR14
05/11/2020 02:50:01,77.02,4086391,0084 J A,CDTR14
11/11/2020 17:08:48,64.69,4081809,0417 J A,CDTR14
18/11/2020 11:36:09,86.15,4081093,1634 J B,CDTR14
28/02/2020 16:49:56,77.78,4081195,1685 J A,CDTR14
18/11/2020 04:24:40,71.39,4082877,1705 J A,CDTR14
10/10/2020 13:36:01,85.39,4081673,1709 J B,CDTR14
16/03/2020 22:20:24,89.8,4081592,1766 J B,CDTR14
13/09/2020 08:47:38,55.86,4082022,1766 J A,CDTR14
17/11/2020 23:09:07,88.74,4081554,1993 J A,CDTR14
18/09/2020 11:54:45,44.6,4079636,1987 J A,CDTR14
22/09/2020 10:15:48,83.26,4090923,1958 J B,CDTR14
